2023-10-24 15:02:26,873 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 15:02:26,875 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:26,876 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 15:02:32,285 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2023-10-24 15:02:33,499 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.examen:examen_CL2:0.0.1-SNAPSHOT @ C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\pom.xml.
2023-10-24 15:02:34,026 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /examen_CL2/src/main/java
2023-10-24 15:02:34,026 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /examen_CL2/src/main/resources
2023-10-24 15:02:34,027 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /examen_CL2/src/test/java
2023-10-24 15:02:34,806 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for examen_CL2
2023-10-24 15:02:34,811 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2023-10-24 15:02:34,872 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:34,874 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 15:02:34,876 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:34,877 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 15:02:34,877 [Worker-10] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of examen_CL2
2023-10-24 15:02:34,878 [Worker-10] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for examen_CL2
2023-10-24 15:02:34,882 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:35,169 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:35,173 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 15:02:35,174 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:35,176 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 15:05:47,165 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.examen:examen_CL2:0.0.1-SNAPSHOT @ C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\pom.xml.
2023-10-24 15:05:53,424 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:05:53,426 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 15:05:53,427 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:05:53,428 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 15:05:53,428 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of examen_CL2
2023-10-24 15:05:53,428 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for examen_CL2
2023-10-24 15:05:53,432 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:05:54,967 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:05:54,968 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 15:05:54,969 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:05:54,970 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 16:12:39,581 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:12:39,583 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 16:12:39,585 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:12:39,586 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 16:12:47,152 [Worker-38] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2023-10-24 16:12:47,981 [Worker-38] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.examen:examen_CL2:0.0.1-SNAPSHOT @ C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\pom.xml.
2023-10-24 16:12:50,146 [Worker-38] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /examen_CL2/src/main/java
2023-10-24 16:12:50,147 [Worker-38] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /examen_CL2/src/main/resources
2023-10-24 16:12:50,148 [Worker-38] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /examen_CL2/src/test/java
2023-10-24 16:12:51,054 [Worker-38] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for examen_CL2
2023-10-24 16:12:51,070 [Worker-38] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2023-10-24 16:12:51,905 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:12:51,908 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 16:12:51,913 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:12:51,914 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 16:12:51,914 [Worker-43] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of examen_CL2
2023-10-24 16:12:51,914 [Worker-43] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for examen_CL2
2023-10-24 16:12:51,918 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:17:15,530 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:17:15,533 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 16:17:15,536 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:17:15,536 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 16:17:37,469 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:17:37,471 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2023-10-24 16:17:37,480 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:17:37,481 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 16:18:44,044 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:18:44,045 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2023-10-24 16:18:44,048 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:18:44,048 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 16:18:53,671 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:18:53,673 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2023-10-24 16:18:53,675 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:18:53,676 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
